Anand Vihar,"Aya Nagar, Delhi - IMD","Burari Crossing, Delhi - IMD","CRRI Mathura Road, Delhi - IMD",Delhi Technological University,"IGI Airport Terminal-3, Delhi - IMD",IHBAS,Income Tax Office,"Lodhi Road, Delhi - IMD",Mandir Marg,NSIT Dwarka,"North Campus, Delhi - IMD",Punjabi Bagh,"Pusa, Delhi - IMD",R K Puram,Shadipur,Siri Fort
65.0147058824,66.5333333333,64.1055737705,84.1601234568,72.8214285714,75.1248101266,73.4473684211,90.5256410256,52.3570238095,59.7283950617,76.7205128205,87.5686585366,65.4927536232,42.2383050847,94.8205128205,60.0010869565,61.4347826087
110.2452830189,71.4290666667,63.615,92.5756164384,84.8554216867,80.3433333333,81.124137931,107.2096774194,59.8669736842,79.8,91.3620253165,95.4046666667,68.3442622951,48.5018072289,117.7627118644,82.3558333333,74.3555555556
95.1492537313,94.4846969697,80.5469565217,97.5731746032,85.7536231884,96.1841269841,93.2236842105,123.4186046512,71.157755102,87.0357142857,106.4412698413,108.2830769231,64.9166666667,62.1985483871,115.3636363636,85.8327083333,83.05
124.0357142857,111.0975510204,78.0258490566,91.056875,105.1449275362,35.4480645161,108.0772727273,144.641509434,69.0234,75.5849056604,129.4344262295,117.8646938776,78.6724137931,54.3672916667,102.0454545455,78.1059574468,122
106.4166666667,103.749375,68.6414035088,123.8424561404,106.7126436782,73.6244927536,79.9074074074,118.3636363636,73.97421875,81.7361111111,114.42875,106.8991428571,86.90625,48.7165079365,126.9746835443,72.5372916667,89.59375
98.3291139241,103.8309677419,70.10640625,95.4813043478,78.0681818182,42.9327941176,96.5945454545,125.25,69.2422222222,83.4794520548,115.8456790123,99.0428947368,76.6125,62.78109375,128.1375,78.4933333333,91.1458333333
88.6769230769,100.3939726027,70.9397468354,119.83375,106.5125,67.3105714286,86.619047619,295.1714285714,65.6185714286,82.2916666667,121.4208333333,106.3413636364,87.4705882353,52.3380769231,117.7866666667,71.12,80.5
80,98.4334117647,74.5156410256,100.8472727273,90.8863636364,65.1009589041,144.6611111111,117.6329113924,61.446125,79.52,94.0382716049,114.1077419355,84.9166666667,51.829382716,124.9230769231,109.4713043478,80.6279069767
87.7777777778,68.7561538462,64.3533333333,83.4621176471,86.0120481928,73.26675,77.6146341463,96.8947368421,58.8577192982,83.9166666667,112.8160493827,98.2265,76.0454545455,30.3990909091,102.7857142857,126.1722916667,75.0444444444
192.670886076,151.3012658228,101.7876190476,157.7195121951,142.6470588235,61.7192592593,89.4232142857,143.7530864198,104.5728395062,125.2083333333,144.3614457831,161.7382608696,137.5194805195,75.2635294118,164.037037037,185.1812765957,133.5869565217
158.9310344828,131.1653521127,99.2547058824,149.2330985916,154.0340909091,124.0492307692,78.0754716981,97.6607142857,97.3582352941,113.3157894737,141.1765625,142.9893975904,128.625,66.032962963,168.0508474576,167.6308333333,117.5
174.4117647059,120.6541666667,50.9502469136,134.1109259259,160.5294117647,90.4519354839,110.0385964912,118.1609195402,104.366746988,127.527027027,145.2345679012,182.7950617284,142.34375,79.4423170732,147.6956521739,150.0297826087,115.3958333333
300.8524590164,310.119375,226.14875,163.829,330.9466666667,277.3295454545,188.662962963,185.7192982456,353.7955555556,243.6744186047,316.8953846154,219.5676470588,167.1666666667,195.2573333333,328.8076923077,355.0902380952,347
387.8846153846,631.5066666667,212.7725,184.83,294.6470588235,87.825,142.6042253521,239.5714285714,686.9966666667,278.5897435897,365,264.115,92.0666666667,129.94,432.8484848485,370.1638554217,234.4814814815
305.3673469388,144.8066666667,125.6246153846,178.0966666667,242.3950617284,172.972,130.152173913,254.8974358974,155.291,235.1071428571,205.9175,171.855,237,128.6057142857,252.4590163934,204.0144578313,216.4888888889
207.3166666667,156.1342105263,97.8723333333,151.6938888889,171.1162790698,36.0727272727,96.9357142857,193.3888888889,143.665,169.3333333333,170.3518072289,172.712,228,108.4913333333,186.9638554217,172.6583333333,148.1363636364
227.8909090909,154.225,119.3072413793,152.761,236.4523809524,58.7153125,108.8859375,174.8125,110.9817647059,107.84,237.0938271605,162.6584615385,178.3043478261,112.0516666667,182.6617647059,205.2541176471,135.3863636364
265.7450980392,191.9344444444,142.3776190476,194.7418181818,254.987654321,59.828,126.3214285714,203.0943396226,197.3877777778,179.4615384615,110.0428571429,187.482,212.3148148148,132.5966666667,234.196969697,199.8905882353,185.1860465116
217.8653846154,178.0666666667,162.7214285714,133.1,238.1647058824,163.0778571429,139.1083333333,138.7777777778,152.6642857143,163.8372093023,126.2833333333,200.4366666667,190.7419354839,104.4785714286,197.1212121212,174.095,158.4047619048
193.5882352941,152.85,132.6066666667,118.975,236.48,113.83,74.2927272727,197.8133333333,181.322,180.2666666667,139.1026666667,109.815,181.3939393939,111.6433333333,178.347826087,420.812,175.1627906977
351.7169811321,651.0275,308.38,558.052,559.2,525.9114285714,408.0616666667,674.7068965517,558.7057142857,677.7894736842,493.9743243243,490.43,479.4482758621,535.9378571429,711,499.1021276596,755.3571428571
596.21875,247.51,296.89,242.41,673.7692307692,466.7166666667,341.2733333333,566.8641975309,310.83,624.8431372549,443.6105263158,375.995,621,368.4308333333,472.6304347826,457.8693877551,445.5454545455
403.2580645161,257.5083333333,214.3985714286,272.556,414.4578313253,303.4728571429,326.4054054054,312.0470588235,260.3533333333,409.0769230769,338.7084337349,268.9175,390.4,229.566,330.9565217391,352.9216216216,329.075
512.9861111111,352.8316666667,319.7757142857,403.9971428571,645.7976190476,357.5175,313.8691358025,383.1111111111,393.3111111111,441.1470588235,318.080952381,370.2314285714,547.9696969697,289.495,417.5217391304,403.1905882353,404.8444444444
529.0714285714,392.7025,343.92,437.1033333333,629.375,334.8527272727,270.82125,436.8636363636,399.908,478.175,414.8,366.606,575.1571428571,349.0804166667,445.323943662,464.2593406593,462.5
464.3384615385,288.74,242.6533333333,245.6053333333,502.8928571429,314.9275,147.676119403,251.8,257.5291666667,401.8780487805,327.430952381,26.8,396.350877193,253.995,343.5423728814,352.962195122,325.7209302326
189.4705882353,145.0688888889,147.0538888889,172.6085714286,278.4512195122,128.3277777778,129.0779661017,171.3026315789,197.759,177.6153846154,202.285915493,196.2378947368,175.1875,144.1648,180.125,183.0828947368,197.5957446809
286.75,181.0775,115.9618181818,178.0694444444,225.5416666667,164.6791666667,172.4754385965,144.4933333333,186.4158333333,170.75,207.7088235294,154.2954166667,177.0952380952,135.2229166667,209.619047619,162.5,198.9333333333
157.5,138.6313043478,99.792,144.7654166667,200.9846153846,149.1454166667,131.8423076923,121.5555555556,164.6479166667,119.7142857143,164.6111111111,146.5134782609,162.3125,104.2808333333,153.3636363636,135.7268656716,169.9024390244
169.6,179.1990909091,86.5,169.559047619,269.0819672131,165.8344444444,146.0886363636,164.6774193548,173.8522727273,127,178.9453125,166.2519047619,165.1111111111,118.0759090909,167.3636363636,151.8742857143,191.2142857143
332.8235294118,139.805,155.033125,176.4429166667,305.9242424242,143.4091666667,117.548,185.8088235294,178.1583333333,258.2,187.5047619048,171.4175,293.4285714286,130.1020833333,237,174.9855072464,172.0697674419
229.2307692308,136.35875,122.4036363636,167.1904166667,250.7692307692,130.7060869565,129.0739130435,157.0545454545,155.6508333333,157.6,189.2528301887,159.4445833333,213.2,121.5033333333,176.0434782609,176.5465517241,164.1627906977
207.8,125.1891304348,125.2254166667,171.0941666667,286.0192307692,133.51875,148.4339622642,145.8421052632,167.6420833333,142.2,197.5537037037,170.5860869565,157.7692307692,117.0108333333,181.8571428571,209.5783333333,173.7142857143
198.5454545455,111.4304347826,113.5879166667,167.7579166667,306.2857142857,142.0195833333,159.8153846154,165.9122807018,146.1743478261,155.1111111111,188.2189655172,181.53625,171.8333333333,127.9825,196.75,211.7948275862,175.7368421053
267.3333333333,155.1639130435,111.1334782609,197.2404545455,285.8181818182,164.7356521739,144.6267857143,179.868852459,178.4670588235,164.5,196.1979591837,198.8995652174,251.2222222222,121.0447826087,246.8,228.1706896552,188.05
311.8717948718,161.8308333333,136.42375,184.6079166667,312.8591549296,174.2209090909,171.9,180,120.907,196,270.1,207.3425,167,136.5582608696,239.7647058824,316.1,191
128.3333333333,100.9008333333,65.6047058824,94.1770588235,120.9318181818,73.3229411765,69.4869565217,91,84.326875,127.1428571429,128.7760869565,118.05875,156.3076923077,51.7563636364,152.1052631579,91.462962963,167.4444444444
106.5384615385,85.4480952381,69.7486363636,86.7170833333,113.125,65.877826087,63.6653061224,241,76.9222727273,89.0666666667,108.2348837209,105.2586363636,119.5,58.4008695652,116.5217391304,100.7301886792,94.24
232.1071428571,110.8328571429,92.7964285714,112.3969230769,293,94.0588888889,99.1853658537,122.3043478261,95.4276923077,137.0666666667,133.296969697,109.0676923077,199.53125,80.5291666667,209.8125,123.9619047619,151.0384615385
351.6851851852,136.3755,176.584,121.528,289.619047619,119.4145833333,139.9893939394,155.5068493151,120.51,198.5428571429,185.0881355932,87.7090909091,264.296875,121.94,242.9787234043,198.6432098765,181.7804878049
216.8333333333,94.5855555556,62.485,130.2755555556,218.4375,109.77125,81.2902439024,171.08,117.1727777778,140.6,151.4162790698,113.9746666667,165.7,86.5711111111,155.3191489362,100.4478873239,156.7
292.5,134.4281818182,123.939375,164.94875,320.0677966102,131.4347826087,130.2837837838,238.3777777778,168.9245833333,209.12,175.6767857143,167.5082608696,271.1176470588,112.4425,196.4,169.6109375,219.2666666667
477.3055555556,199.274,158.058,215.15,434.7818181818,161.218,184.22,375.2972972973,205.87,365.6842105263,261.7652173913,194.4075,424.8571428571,135.074,264.75,273.4254237288,372.8918918919
219.9705882353,94.1163157895,82.4979166667,192.8344444444,238.8913043478,92.80625,84.8611111111,150.0666666667,101.8379166667,140.8125,150.9384615385,104.5468181818,183.6216216216,56.4375,173.0476190476,142.5782608696,136.0434782609
356.5463888889,130.3336363636,126.8222727273,310.1114285714,293.4047619048,137.49,143.8981132075,264.8780487805,195.3304545455,198.4666666667,212.6563636364,137.79,231.8709677419,126.0605,262.3658536585,210.1673076923,213.7142857143
258.4285714286,177.2811764706,215.2708333333,261.2194736842,406.6285714286,207.88,130.6939393939,249.0769230769,212.5522222222,186.4,199.05,163.1481818182,488,147.7504761905,146,292.172972973,216.2380952381
383.8787878788,145.74,159.8460869565,197.0716666667,310.9558823529,176.35375,134.7984126984,230.3043478261,171.9391666667,218,275.9786885246,302.3982352941,310.4615384615,150.7558333333,251.8918918919,299.55,225
292.9375,157.803,143.1930434783,261.6472222222,287.7222222222,207.4276470588,123.8590909091,228.8363636364,223.2241666667,225.65,263.5544117647,297.22,264.9230769231,140.8156521739,320.2564102564,235.8453333333,235.7586206897
344.4090909091,199.435,136.0795454545,273.2626086957,334.8947368421,230.1273913043,141.3583333333,243.4666666667,223.9292857143,277.5217391304,305.0754098361,260.0952173913,321.6585365854,172.7934782609,254.1489361702,265.2223880597,310
400.3571428571,205.6920833333,198.3733333333,333.2354166667,389.8157894737,215.0726086957,153.4236363636,278.3,265.8414285714,292.6,281.5962264151,319.2839130435,286.3181818182,182.8908333333,297.2432432432,312.2309090909,277.3636363636
